cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,cpu_usage,ck_DaemonSet,ck_Job,ck_ReplicaSet,ck_ReplicationController,ck_StatefulSet,ck_UNKNOWN
0.0,0,0.0,0,10727.4516,0.03054139275,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8406.868267,0.006348531001,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,2701.9516,0.005409054178,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10724.68493,0.04125561783,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8250.134933,0.0007785336481,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.32877,8.79e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8250.0621,0.0006346107541,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10449.4621,0.04057555024,1.0,0.0,0.0,0.0,0.0,0.0
0.1,1073741824,0.2,1610612736,10726.12877,0.04636601441,0.0,0.0,1.0,0.0,0.0,0.0
0.1,1073741824,0.3,4294967296,10725.07877,0.0008041679736,0.0,0.0,1.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.07877,0.005896198616,0.0,0.0,0.0,0.0,1.0,0.0
0.25,536870912,0.25,536870912,10720.2621,1.56e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,2147483648,10724.1121,0.005759044041,0.0,0.0,0.0,0.0,1.0,0.0
0.01,33554432,0.1,67108864,10720.87877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.52877,0.0001720751247,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10446.3121,0.005561502506,1.0,0.0,0.0,0.0,0.0,0.0
0.0,64000000,4.0,8589934592,10722.77877,0.01092687246,0.0,0.0,0.0,1.0,0.0,0.0
0.01,67108864,0.1,134217728,10723.62877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
